22;65
24;65,3
8,2;71
153;90,1
145;115
5,8;66,2
7,5;53,2
10;56,4
49;98,8
35;71,2
6,7;87,5
13;63,6
35;81,9
127;78
44;80,2
6,6;93,1
52;104,3
7;96,1
42;93,4
6,5;66,1
18;70,4
6,9;55,1
6,5;42,8
8,7;66,2
7,5;62,5
7,2;63,5
7,3;49,7
4,1;91,7
6,2;65,2
15;66,1
4,9;86,8
54;81,5
5,3;65,6
6,5;85,8
7,5;78,2
26;66,7
13,6;54,6
4,9;58,2
7,8;49,9
6,7;61,7
8,9;55,9
9,1;77,7
56;76
5,4;45,4
29;81,2
12;56,3
6,3;77,6
22;82,7
5,4;40,2
5,3;63,7
103;82,7
43;108,9
12;61,1
7,7;77,5
121;82,5
8,2;52,9
4,8;35,6
85;67,4
20;83,4
8,6;50,1
18;70,9
16,1;88,4
6,5;56,9
6,9;65,7
39;45,5
7,8;62,3
8,1;56,6
63;102,8
52;82,7
14;57,5
43;74,1
8,7;69,6
6;36,9
6,5;88,2
56;74
41,9;75,6
7,6;64,9
5,2;37,6
25;81,4
7,3;84,9
5;38,1
97;84,6
80;83
9,4;54,8
4,8;57,7
18,1;82,1
7,2;44,6
12,3;62,4
12;65,8
36;62,2
53;73,4
21;65,1
35;81,3
9,4;60,7
5,6;65,6
32;62
8,5;54,8
43;80,4
5,6;36,9
4,6;81,4
6,7;56,2
9,9;63,1
8,2;51,5
53;74,8
50;69,6
68;96
9,4;54,9
28;83,4
9,1;50,9
78;86,1
8,8;50,1
38;80,9
19;68,9
58;81,4
6,4;46,7
6,1;96,1
8,9;44,2
65;74,9
104;85,5
35;84,1
6,5;65,2
25;63,8
49;67,7
16,4;88,5
7,8;37,6
12;70,4
4,5;49,7
7,3;59,1
6;66,4
28;84,4
66;69,8
38;67,4
5,6;65
6,8;53
42;80,9
97;104,8
6,4;47,5
30;82,2
4,5;57,8
6,9;87,6
15;59,2
7,5;35,3
25;86
5,2;64,5
9,4;62,5
8,8;63,6
6,3;96,9
26;79,8
62;91,5
39;67,4
4,5;54,1
8,5;66,7
7,4;49,7
6,7;46,3
100;91,2
16;74,4
186;115,7
4,6;36,7
6;67,8
51;75,3
7,8;57,4
15;87,5
6,6;93
7;61,9
4,6;87,1
45;85,1
36;67,5
11;64,8
6,3;65,6
30;83
7,9;58,2
