5,8;45,1
11;65,8
17,1;88,5
105;80,1
5,8;46,5
44;90
7,9;50,7
8,7;48,6
18;79,3
44;81,3
122;80
7,3;58,8
5,6;65,9
9,1;69,4
19;63,7
12;54
17;61
6,9;96,8
5,3;44,8
7,2;66,8
36;71,6
14;67,4
100;76
11;77
47;73,4
38;91,6
7,5;79,3
54;74,9
5,7;68,2
7;92
9,3;56,1
6,5;48
23;80,3
132;84,2
7,8;51,5
8,1;60,2
82;71,3
9,4;54,4
25;61,3
6,9;50,5
18;67,9
138;78,3
8,1;71,3
10;64,6
64;77,9
5,1;40
6,4;63,8
203;114,7
5,6;77,7
24;63,6
13;55,3
30;60
90;83
12;63
14;62,3
11,5;83,7
5,8;39,5
5,8;35,2
6,1;48,8
41;81,5
47;117,7
53;74,8
30;83,3
6,2;65,4
91;105,4
31,9;82
6,7;78
17;51,5
86;88,7
24;78,2
14;68,1
5,2;67,1
4,4;92,8
7,4;39,7
4,5;53
8,3;51,5
57;76,5
7;57,1
6,7;55
9,8;59,5
89;89
61;82,1
40;73,2
20;63,3
8;53,1
34;108
5,9;37,5
7,2;46,1
6,5;52,3
13;94,6
45;69,8
7;55,5
32;83,2
4,5;52,8
9,5;51,8
8,1;79,9
110;82,4
4,4;85
12,8;83,5
80;89,6
7,5;63
12;58,7
13;70,9
5,4;58,3
9,9;57,2
12;56,4
7,9;58,2
5,6;39,9
8,9;66,3
17;83
4,4;52,7
40;96,5
29;88,4
20;49,1
6,3;86,1
12;48,9
30;69,2
6,2;66,1
7,1;50,7
10;58,6
121;82,9
13;56,3
7,6;64,3
53;83
40;72,4
22;66,7
28;82,4
5,5;45,9
11;65
10;59,1
53;76,8
37;78,5
5,4;47
26;80,7
45;82
6,6;40,7
29;61,8
5,2;64,3
4,6;36,5
5,8;42,2
8,4;69,8
6,2;48,2
5,4;40
5,8;50,7
33;69
7,5;98,6
165;113,3
7,7;53,3
150;78
7,8;75,8
76;67,4
7,5;85,7
41;83,5
7;56,4
46;80,8
7,6;63,6
56;70,4
14;58
29;80,7
5,8;85,5
4,2;53,4
6,3;57,7
6;96
8,2;69,1
180;77,3
188;91,9
6;66,4
6;37,5
99;83,1
9,8;78,7
18;78,5
12;64,3
39;84,3
51;70
4,8;52,6
9,8;65,2
53;80,7
7,8;92,5
6,6;68,1
22,9;101,3
8,8;62,1
7,4;56,7
17;89
18;88,2
9;58,1
40;72
11;61,5
18;70,7
6,5;40,2
18,4;86,1
65;74,6
10;64,7
36;103,3
6,6;65,4
5,1;93,7
9,3;58,2
17;65,8
9,9;58,4
7,3;43,5
14;78,1
175;108
64;81,8
20;63,1
38;68,9
38;107,3
6,7;48,6
51;93,5
8,6;68,7
13;71
15;51,3
7,2;60,5
29;97
51;76,3
4,7;87,2
6,4;99,4
4,7;92,6
20;81,1
5,4;45,1
8,5;61,6
5,4;45,1
12;63,7
13;56,9
7,6;69
13,5;70,4
249;95
7,8;53,6
33;82,5
17;83,8
18;83,3
32;104,6
5,8;47,3
14,2;71,9
6,5;68,3
40;67,5
35;70,9
4,3;50,2
83;98,9
7;57,8
8,1;68,8
36;68,3
8,6;70,7
52;78
13;60,1
4,9;44,5
34;70,1
8,6;65,8
46;77,1
29;84
6,2;48,3
52;79
15,5;83,3
7;62,6
36,1;87,3
74;84,2
7,4;47,9
4;54,2
66;74,5
5,6;47,1
15;48
4,6;37,2
24;63,5
65;73,3
67;76,9
4,6;53,1
88;107,4
22;88,2
45;76,1
23;66,3
6,2;45,5
8,2;68,4
55;79,4
41;75,2
10,2;58,1
17;65,4
15;55,8
9,3;56,7
22;64,6
8,3;40,6
152;78,1
6,9;55,4
8,6;68,6
11;53,2
8,5;71,4
8,1;78,9
12;79,5
7,1;56,8
6,8;46,5
26;79,9
31,8;92,5
9,3;56,1
13;64,4
12;51,2
7,5;58,4
48;75,1
21;82,5
4,7;53,5
10;59,1
5,3;38,4
12;55
28;70,9
18;70,7
12;55,9
30;78,2
14;70,9
26;48,7
6,2;41,8
12;65,2
71;76,3
5,1;49,2
8,1;53,4
7,9;55,9
4,8;50,3
4,8;36,4
98;58,6
10;65,8
45;82,3
19;67
31;68,1
33;96,8
5,3;50,6
12;66,8
6,8;49,3
27;77
4,7;84,2
105;52,9
6,1;45,6
11;79
17;64,4
9,7;63,3
7;64,3
60;84,1
7,4;42,5
52;78,1
36;82,3
13;62,6
101;85,4
15;74,2
37;72,7
32;86,1
23;68,9
38;83,6
7,8;65,2
10,1;59,2
7,1;61,3
10;59,3
17,9;83,6
4,1;92,5
21;88,2
20;73,6
6;50,2
13,8;70,4
47;103,5
23;64,8
6,1;68,9
4,6;53,6
54;77,6
6,9;88,8
10;58,7
45;101,8
22;80,7
6,2;60
11;64,4
9,4;59,8
53;68,7
28;80,3
6,6;99,2
11;60,7
8,1;70,1
8;56,9
55;80,2
