11.0;7.2;47.2
102.0;7.0;62.0
36.0;6.7;59.7
54.0;6.6;62.9
26.0;7.3;48.7
53.0;7.3;83.0
21.0;6.9;66.0
15.0;7.3;51.9
39.0;6.6;66.6
12.0;7.2;48.1
65.0;7.0;69.8
6.6;7.3;46.2
29.0;6.8;62.0
27.0;7.0;67.6
22.0;6.8;65.2
42.0;7.3;68.3
49.0;7.3;80.7
58.0;6.7;71.9
34.0;6.8;67.6
30.0;6.8;62.1
7.8;7.3;39.5
6.0;7.3;47.0
102.0;7.0;77.8
5.6;7.3;41.8
7.3;7.3;49.7
6.4;7.3;49.1
8.3;7.3;37.9
93.0;7.0;73.2
148.0;7.3;116.8
201.0;7.3;116.8
67.0;6.8;77.8
24.0;7.3;48.2
8.5;7.2;52.7
5.7;7.3;40.2
97.0;7.3;84.2
135.0;7.3;98.2
31.0;6.8;62.1
52.0;7.3;92.0
8.7;7.3;41.1
71.0;6.8;69.8
15.0;7.3;51.7
20.0;6.8;61.5
5.6;7.3;42.8
54.0;6.7;68.8
29.0;6.9;62.0
39.0;7.3;45.5
103.0;7.3;85.5
64.0;6.8;69.1
13.0;7.2;49.1
155.0;7.2;91.8
33.0;7.2;69.3
65.0;7.0;68.6
21.0;6.8;65.1
6.8;7.3;39.6
22.0;6.8;64.6
22.0;6.8;62.9
33.0;6.9;62.0
6.3;7.2;41.0
67.0;7.3;84.1
22.0;6.8;64.5
21.0;7.3;45.3
7.2;7.3;35.3
6.9;7.3;47.1
42.0;7.3;82.0
72.0;6.8;70.4
52.0;6.8;71.9
39.0;6.8;63.1
71.0;6.8;75.7
67.0;6.8;78.2
20.0;6.8;64.4
62.0;6.7;71.9
43.0;6.8;66.3
29.0;6.8;61.4
5.3;7.3;41.5
5.9;7.3;41.7
64.0;7.0;87.1
69.0;6.8;66.1
34.0;6.8;67.0
34.0;6.7;60.2
5.6;7.3;40.5
6.2;7.3;48.2
19.0;6.9;64.8
28.0;6.9;61.6
108.0;6.8;75.7
87.0;6.8;72.6
11.0;7.2;54.3
52.0;7.3;78.1
49.0;7.3;71.0
67.0;6.8;68.7
27.0;6.9;65.6
5.7;7.3;44.7
48.0;7.3;79.9
28.0;7.0;65.3
59.0;7.3;82.3
59.0;6.8;71.8
126.0;7.3;92.5
216.0;7.0;92.0
36.0;6.8;67.1
138.0;7.3;113.0
27.0;7.3;55.9
6.2;7.3;41.2
6.6;7.3;47.1
5.3;7.3;48.8
69.0;6.8;71.0
45.0;6.6;65.4
65.0;7.3;85.2
112.0;6.8;74.4
75.0;7.0;74.5
7.4;7.3;46.1
82.0;7.3;87.6
22.0;6.8;64.9
36.0;6.6;67.1
5.5;7.2;49.0
5.3;7.3;38.4
5.0;7.3;46.0
73.0;7.0;74.6
7.6;7.3;47.2
30.0;6.8;59.7
36.0;6.8;65.4
54.0;7.0;72.0
5.6;7.3;45.7
6.7;7.3;45.8
80.0;6.8;71.7
5.7;7.3;45.8
74.0;7.3;80.7
7.5;7.3;34.5
44.0;6.6;60.7
31.0;6.9;64.6
6.4;7.3;43.5
32.0;6.8;62.0
6.9;7.3;43.8
5.4;7.3;39.0
7.4;7.3;47.9
87.0;7.0;70.3
7.0;7.3;54.2
7.1;7.3;37.3
100.0;6.8;71.2
46.0;7.3;81.4
93.0;7.3;72.6
48.0;6.6;68.1
30.0;6.8;59.8
22.0;6.8;64.7
23.0;6.8;65.4
15.0;7.3;51.5
6.8;7.2;44.3
65.0;7.0;87.1
6.7;7.3;46.3
33.0;6.8;67.6
6.1;7.3;44.7
68.0;7.3;80.6
