68.0;6.8;76.8
66.0;6.8;76.0
61.0;7.0;76.3
63.0;7.0;76.2
64.0;7.0;75.8
66.0;7.0;76.5
68.0;7.0;76.5
68.0;7.0;76.7
69.0;7.0;76.3
69.0;7.0;76.2
68.0;7.0;76.0
66.0;7.0;76.9
65.0;7.0;75.8
64.0;7.0;76.8
62.0;6.8;76.8
63.0;6.8;76.1
62.0;6.8;80.1
64.0;6.8;73.5
62.0;6.8;74.2
63.0;6.8;77.0
67.0;6.8;76.5
69.0;6.8;77.7
68.0;6.8;78.2
68.0;6.8;78.6
67.0;6.8;77.8
67.0;6.8;78.2
63.0;6.8;74.2
64.0;6.8;74.7
65.0;6.8;67.5
65.0;6.8;69.2
68.0;6.8;69.5
66.0;6.8;69.5
67.0;6.8;68.8
68.0;6.8;68.7
67.0;6.8;68.7
68.0;6.8;68.7
67.0;6.8;67.4
66.0;6.8;68.4
61.0;7.0;72.2
62.0;7.0;72.2
63.0;7.0;72.4
63.0;7.0;73.0
64.0;7.0;72.5
64.0;7.0;72.1
65.0;7.0;72.4
65.0;7.0;72.7
64.0;7.0;71.8
62.0;7.0;71.7
60.0;7.0;72.7
59.0;7.0;72.2
57.0;7.0;72.7
54.0;7.0;72.0
55.0;7.0;72.4
60.0;7.0;72.2
66.0;7.0;72.5
72.0;7.0;72.1
72.0;7.0;72.3
70.0;7.0;72.2
70.0;6.8;72.5
65.0;6.8;72.3
62.0;6.8;72.5
59.0;6.8;71.8
52.0;6.8;71.9
53.0;6.8;72.4
56.0;6.7;72.5
62.0;6.7;71.9
63.0;6.7;72.5
65.0;6.7;72.7
66.0;6.7;72.0
64.0;6.7;72.2
61.0;6.7;72.4
58.0;6.7;71.9
57.0;6.7;71.8
56.0;6.7;72.8
54.0;6.7;67.2
53.0;6.7;68.9
53.0;6.7;69.5
52.0;6.7;67.4
54.0;6.7;68.8
53.0;6.7;65.7
57.0;6.7;65.6
58.0;6.7;65.8
56.0;6.7;65.7
54.0;6.7;65.2
53.0;6.7;65.8
53.0;6.7;68.7
52.0;6.7;68.6
52.0;6.7;68.8
52.0;6.7;68.3
54.0;6.7;68.9
57.0;6.7;69.2
59.0;6.7;68.6
61.0;6.7;68.7
60.0;6.7;68.7
58.0;6.7;68.7
56.0;6.7;68.4
54.0;6.7;68.8
50.0;6.7;69.0
49.0;6.7;67.6
49.0;6.7;68.6
51.0;6.7;69.8
48.0;6.7;69.4
49.0;6.7;69.1
51.0;6.7;68.5
53.0;6.7;69.9
54.0;6.6;68.8
52.0;6.6;68.9
52.0;6.6;68.4
50.0;6.6;68.6
45.0;6.6;68.8
